zipcode,rate
54919,243.77
54923,
7184,
21777,
77586,243.72
64148,245.2
67118,212.35
47452,
47387,326.98
56097,
48418,
75939,234.5
39845,325.64
49448,221.63
91945,
52654,242.39
61232,222.38
52146,254.56
48435,
18229,231.48
27702,283.08
20047,
95327,
53181,306.56
60094,209.95
15935,184.97
79168,243.68
38849,285.69
67651,249.44
51012,252.76
7734,
12961,
33608,268.49
43343,
37333,219.29
42330,
58703,297.93
26716,291.76
50014,287.3
6239,
3299,240.45
31551,290.6
48872,
40813,
46706,
14846,
86313,292.9
28411,307.51
77052,243.72
39745,265.73
63359,
